"Material.group","Plant","Sales.Office","Billing.Qty.Base.UoM","Lower_Predicted_Value","Higher_Predicted_Value","Date"
"FG0003",5010,"1400",25,2485667.99727397,2510524.67724671,2018-01-06
"FG0023",5010,"2000",25,2484630.9336486,2509477.24298509,2018-01-06
"FG0001",5010,"1300",20,1974318.26922756,1994061.45191984,2018-01-06
"FG0003",5010,"2000",21,2065200.83031923,2085852.83862242,2018-01-06
"FG0001",5010,"1300",22,2181917.91103385,2203737.09014419,2018-01-06
"FG0001",5010,"2000",21,2050339.72173262,2070843.11894994,2018-01-06
"FG0002",5010,"1200",12,1158941.3298253,1170530.74312355,2018-01-06
"FG0014",5010,"1200",8,743203.196674705,750635.228641452,2018-01-06
"FG0022",5010,"2000",9,752873.956027687,760402.695587963,2018-01-06
"FG0023",5010,"2000",6,512434.336488873,517558.679853762,2018-01-06
"FG0003",5010,"2000",25,2480400.1139318,2505204.11507112,2018-01-06
"FG0022",5010,"2000",20,1894671.98596227,1913618.70582189,2018-01-06
"FG0014",5010,"2000",21,2069451.56642762,2090146.08209189,2018-01-06
"FG0014",5010,"2000",21,2069451.56642762,2090146.08209189,2018-01-06
"FG0023",5010,"2000",25,2484630.9336486,2509477.24298509,2018-01-06
"FG0003",5010,"2000",21,2065200.83031923,2085852.83862242,2018-01-06
"FG0001",5010,"1300",20,1974318.26922756,1994061.45191984,2018-01-06
"FG0023",5010,"2000",25,2484630.9336486,2509477.24298509,2018-01-06
"FG0001",5010,"3000",21,2041944.67036766,2062364.11707133,2018-01-06
"FG0022",5010,"2100",16,1478123.6624724,1492904.89909712,2018-01-06
"FG0014",5010,"1200",15,1469801.94299671,1484499.96242668,2018-01-06
"FG0014",5010,"1200",5,431803.733965263,436121.771304915,2018-01-06
"FG0001",5010,"1300",22,2181917.91103385,2203737.09014419,2018-01-06
"FG0023",5010,"2000",25,2484630.9336486,2509477.24298509,2018-01-06
"FG0014",5010,"2000",21,2069451.56642762,2090146.08209189,2018-01-06
"FG0023",5010,"2100",8,718684.938417867,725871.787802045,2018-01-06
"FG0003",5010,"2100",2,91655.1932822019,92571.7452150239,2018-01-06
"FG0002",5010,"2100",6,511644.062541202,516760.503166614,2018-01-06
"FG0002",5010,"4100",5,417304.442839399,421477.487267793,2018-01-06
"FG0014",5010,"4100",16,1558563.62323596,1574149.25946832,2018-01-06
"FG0023",5010,"2000",14.5,1394732.81416559,1408680.14230725,2018-01-06
"FG0002",5010,"2100",16,1549642.27157263,1565138.69428836,2018-01-06
"FG0001",5010,"1300",18,1766718.62742127,1784385.81369549,2018-01-06
"FG0003",5010,"2000",21,2065200.83031923,2085852.83862242,2018-01-06
"FG0001",5010,"1300",7,624920.59748669,631169.803461557,2018-01-06
"FG0022",5010,"2000",16,1479472.70234969,1494267.42937319,2018-01-06
"FG0001",5010,"2000",14,1323740.97541061,1336978.38516472,2018-01-06
"FG0001",5010,"2000",2,78143.124572888,78924.5558186169,2018-01-06
"FG0002",5010,"4000",12,1137136.80633217,1148508.17439549,2018-01-06
"FG0023",5010,"4000",9,825178.57769312,833430.363470051,2018-01-06
"FG0014",5010,"1200",1.75,94454.3160300553,95398.8591903558,2018-01-06
"FG0022",5010,"2100",16,1478123.6624724,1492904.89909712,2018-01-06
"FG0014",5010,"1200",13.5,1314102.21164198,1327243.2337584,2018-01-06
"FG0003",5010,"2000",21,2065200.83031923,2085852.83862242,2018-01-06
"FG0023",5010,"2000",21,2069431.65003602,2090125.96653638,2018-01-06
"FG0023",5010,"2000",25,2484630.9336486,2509477.24298509,2018-01-06
"FG0023",5010,"2000",14.5,1394732.81416559,1408680.14230725,2018-01-06
"FG0001",5010,"2100",11,1010992.47282389,1021102.39755213,2018-01-06
"FG0001",5010,"2100",5,388193.547405019,392075.48287907,2018-01-06
"FG0001",5010,"2100",8,699593.010114461,706588.940215606,2018-01-06
"FG0001",5010,"2100",1,-27005.7362075597,-27275.7935696353,2018-01-06
"FG0023",5010,"2000",15,1446632.72461717,1461099.05186334,2018-01-06
"FG0022",5010,"4200",21,2006149.40748815,2026210.90156303,2018-01-06
"FG0023",5010,"2000",25,2484630.9336486,2509477.24298509,2018-01-06
"FG0022",5010,"1300",9,780652.324425772,788458.847670029,2018-01-06
"FG0022",5010,"1300",6,469252.861716345,473945.390333508,2018-01-06
"FG0001",5010,"1300",6,521120.776583552,526331.984349388,2018-01-06
"FG0014",5010,"1100",15,1471198.77731068,1485910.76508379,2018-01-07
"FG0014",5010,"4200",21,2076964.28657186,2097733.92943758,2018-01-07
"FG0002",5010,"2000",16,1550826.43097143,1566334.69528114,2018-01-07
"FG0014",5010,"1100",15,1471198.77731068,1485910.76508379,2018-01-07
"FG0003",5010,"1300",15,1470015.39281996,1484715.54674816,2018-01-07
"FG0001",5010,"2000",21,2050174.84125412,2070676.58966666,2018-01-07
"FG0003",5010,"2000",21,2065035.94984072,2085686.30933913,2018-01-07
"FG0014",5010,"1100",15,1471198.77731068,1485910.76508379,2018-01-07
"FG0023",5010,"1000",9,843193.437075958,851625.371446717,2018-01-07
"FG0023",5010,"1000",7,635593.795269668,641949.733222365,2018-01-07
"FG0002",5010,"1300",10,955805.873950645,965363.932690152,2018-01-07
"FG0023",5010,"2000",5,408469.635107219,412554.331458291,2018-01-07
"FG0023",5010,"2000",16,1550267.6650418,1565770.34169222,2018-01-07
"FG0014",5010,"2000",21,2069286.68594912,2089979.55280861,2018-01-07
"FG0023",5010,"2000",25.5,2536365.96362168,2561729.62325789,2018-01-07
"FG0001",5010,"2100",21,2048825.80137682,2069314.05939059,2018-01-07
"FG0001",5010,"2000",16,1531175.7367384,1546487.49410578,2018-01-07
"FG0003",5010,"2000",21,2065035.94984072,2085686.30933913,2018-01-07
"FG0002",5010,"2100",16,1549477.39109413,1564972.16500507,2018-01-07
"FG0014",5010,"1200",15,1469637.06251821,1484333.43314339,2018-01-07
