Sold_to_party,Total_Score,customerType
29865,322,Potential Loyalist
29402,322,Potential Loyalist
26054,322,Potential Loyalist
29848,322,Potential Loyalist
29838,322,Potential Loyalist
29324,322,Potential Loyalist
27480,322,Potential Loyalist
27578,322,Potential Loyalist
29891,322,Potential Loyalist
24852,322,Potential Loyalist
29369,322,Potential Loyalist
20993,322,Potential Loyalist
21056,322,Potential Loyalist
23537,322,Potential Loyalist
29959,322,Potential Loyalist
20308,322,Potential Loyalist
29536,322,Potential Loyalist
29793,322,Potential Loyalist
29176,322,Potential Loyalist
29269,321,About to sleep
29836,321,About to sleep
27936,321,About to sleep
27159,321,About to sleep
25071,321,About to sleep
21852,321,About to sleep
28504,321,About to sleep
29816,321,About to sleep
25034,321,About to sleep
27785,321,About to sleep
28493,321,About to sleep
27252,321,About to sleep
29786,321,About to sleep
27042,321,About to sleep
29639,321,About to sleep
25000,321,About to sleep
21509,321,About to sleep
23703,321,About to sleep
25937,321,About to sleep
21003,321,About to sleep
25128,321,About to sleep
30053,321,About to sleep
28066,321,About to sleep
29317,321,About to sleep
29104,321,About to sleep
27039,321,About to sleep
23343,321,About to sleep
29000,321,About to sleep
22023,321,About to sleep
23177,321,About to sleep
30028,315,Loyal
28266,315,Loyal
29823,315,Loyal
30051,315,Loyal
20630,315,Loyal
20860,315,Loyal
27816,315,Loyal
28907,315,Loyal
30023,315,Loyal
30109,315,Loyal
25328,315,Loyal
24025,314,Potential Loyalist
30027,314,Potential Loyalist
30064,314,Potential Loyalist
22506,314,Potential Loyalist
30132,314,Potential Loyalist
21803,313,Potential Loyalist
25878,313,Potential Loyalist
30055,313,Potential Loyalist
28798,313,Potential Loyalist
30129,313,Potential Loyalist
29869,313,Potential Loyalist
28286,313,Potential Loyalist
26627,313,Potential Loyalist
29961,312,About to sleep
27443,312,About to sleep
29322,312,About to sleep
27597,312,About to sleep
20979,312,About to sleep
30177,312,About to sleep
27180,312,About to sleep
27610,312,About to sleep
30142,312,About to sleep
27894,312,About to sleep
28187,312,About to sleep
30122,312,About to sleep
29239,312,About to sleep
30081,312,About to sleep
25770,312,About to sleep
27615,311,About to sleep
25561,311,About to sleep
28273,311,About to sleep
28409,311,About to sleep
29856,311,About to sleep
21784,311,About to sleep
30042,311,About to sleep
25582,311,About to sleep
29090,311,About to sleep
30088,311,About to sleep
30113,311,About to sleep
20242,311,About to sleep
26379,311,About to sleep
27541,311,About to sleep
23833,311,About to sleep
30024,311,About to sleep
21216,311,About to sleep
29144,311,About to sleep
21200,255,Loyal
25902,255,Loyal
23289,255,Loyal
24741,255,Loyal
28845,255,Loyal
27237,255,Loyal
25811,255,Loyal
21453,255,Loyal
22524,255,Loyal
29063,255,Loyal
25286,255,Loyal
22212,255,Loyal
22143,255,Loyal
20070,255,Loyal
27331,255,Loyal
26480,255,Loyal
21777,255,Loyal
